row_index,split,category,source_conversation_id,source_turn_index,user,assistant
0,train,clear_order_item,dlg-22baae4e-6abe-474c-ac98-2a2c09dc735c,5,Bir köfte alabilir miyim?,1 adet köfte istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
1,train,clear_order_item,dlg-10be1bdd-6b4f-4b0f-94f3-10ec3a3b6f89,10,3 ayran istiyorum.,Tabii. 3 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
2,train,remove_or_change_order,dlg-115273a2-deac-4cbc-9964-7ec6e6602c9e,5,künefeyi çıkarır mısın?,Tabii. Künefeyi siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
3,train,side_drink_extra_request,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,8,Yemeğin yanına 1 ayran alabilir miyim?,Tabii. 1 adet ayran istediğinizi anladım. Başka bir isteğiniz var mı?
4,train,add_more_quantity,dlg-2b8717eb-d3c0-4fae-8450-3b65eec5e9e7,5,4 soda daha.,4 adet soda daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
5,train,clear_order_item,dlg-2373863a-38dd-4892-8dc0-e987513e11d8,6,Bir künefe alabilir miyim?,1 adet künefe istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
6,train,remove_or_change_order,dlg-2d299c31-17bd-41fd-bac2-c6e3bf9f2890,5,"makarnayı istemiyorum, çıkaralım.",Tabii. Makarnayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
7,train,remove_or_change_order,dlg-3273d2fd-49f3-4c76-84be-0a02cb3f3b5b,13,Lütfen çayı iptal edelim.,Tabii. Çayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
8,train,order_clarification,dlg-9d57fac8-d59c-4d7a-bbc9-1f0e877711e8,3,Soğuk içecek için seçenek söyler misiniz?,Soğuk içecek seçenekleri için güncel menüye bakmak en doğrusu olur. Aklınızda belirli bir tercih var mı?
9,train,remove_or_change_order,dlg-1f4bf36a-2881-4db3-834f-8b55e502e300,5,pilavı siparişten çıkarabilir misiniz?,Tabii. Pilavı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
10,train,add_more_quantity,dlg-01765acc-b2cf-46b9-8961-7f259645b414,7,1 su daha.,1 adet su daha istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
11,train,remove_or_change_order,dlg-348be5f2-7dc1-4f94-916f-338e3e559c76,9,Lütfen salatayı iptal edelim.,Tabii. Salatayı siparişten çıkarmak istediğinizi anladım. Başka bir değişiklik var mı?
12,train,polite_thanks_closing,dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933,9,"Sağ olun, yeterli.",Rica ederim. Başka bir isteğiniz olmadığını anladım.
13,train,confirm_or_close_order,dlg-09f9b8d3-9154-475f-b73d-9d6d4349e23f,5,Eklemek istediğim başka bir şey yok.,Tamam. Başka bir isteğiniz olmadığını anladım.
14,train,clear_order_item,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,11,1 limonata istiyorum.,Tabii. 1 adet limonata istediğinizi anladım. Başka bir isteğiniz var mı?
15,train,add_more_quantity,dlg-2bd6c73d-f75f-4a59-8596-398e9b0859e9,3,4 mercimek çorbası daha.,Tabii. 4 adet mercimek çorbası daha eklemek istediğinizi anladım. Başka bir isteğiniz var mı?
16,train,clear_order_item,dlg-2d8e64ca-b9bd-4ffd-91ff-a85e36cfef0e,6,Üç çay alabilir miyim?,3 adet çay istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
17,train,confirm_or_close_order,dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933,5,Siparişi bu haliyle onaylıyorum.,Tamam. Siparişi onaylamak istediğinizi anladım.
18,train,order_clarification,dlg-bdc46fbc-2be6-455b-8c90-8230a71e894b,7,Bir soğuk içecek istiyorum.,Hangi soğuk içecek istediğinizi belirtir misiniz? Güncel menüye bakarak netleştirebiliriz.
19,train,clear_order_item,dlg-0d3ecb86-e098-40b6-bd74-69d3f7bc9c76,5,2 köfte istiyorum.,2 adet köfte istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
20,train,clear_order_item,dlg-2460eea6-d042-4483-8349-29310bd4b89e,7,İki su alabilir miyim?,2 adet su istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
21,train,side_drink_extra_request,dlg-0b6045c5-c1e7-47d5-999f-3829b454f884,2,Yemeğin yanına 2 çay alabilir miyim?,2 adet çay istediğinizi anladım. Güncel menüde varsa siparişe eklenebilir. Başka bir isteğiniz var mı?
